LOCATION_NAME,FLAG_TSUNAMI,YEAR,MONTH,DAY,LATITUDE,LONGITUDE,FOCAL_DEPTH,EQ_PRIMARY,MAXIMUM_WATER_HEIGHT, Batyh, DevW5, DevW11, DevW25, DevW75
 NEWGUINEA:IRIANJAYA ,1,1957,6,22,-1.5,137,33,7.3,1.8,136,7,9,94,236
 NEWGUINEA:IRIANJAYA ,1,1958,4,21,-4.5,104,200,6.7,1.8,0,0,0,0,0
 NEWGUINEA:IRIANJAYA ,1,1963,12,16,-6.4,105.4,64,6.6,1.8,86,9,22,47,755
 NEWGUINEA:IRIANJAYA ,1,1964,4,2,5.9,95.7,130,7,1.8,1248,40,46,142,774
 NEWGUINEA:IRIANJAYA ,1,1965,1,24,-2.4,126.1,6,7.6,1.8,886,675,1414,3341,5095
 NEWGUINEA:IRIANJAYA ,1,1967,4,11,-3.7,119.3,33,5.5,1.8,771,103,215,590,1035
 NEWGUINEA:IRIANJAYA ,1,1967,4,12,5.5,97.3,100,6.1,1.8,292,27,100,379,868
 MOLUCCAISLANDS:MANADO/CELEBES ,1,1968,8,10,1.4,126.2,25,7.6,0.4,1744,171,309,753,2528
 SULAWESI:TAMBU/COASTOFMAPAGA ,1,1968,8,14,0.2,119.8,23,7.4,10,0,0,186,676,1977
 SULAWESI:PARASANGA/PALETOANG ,1,1969,2,23,-3.1,118.9,13,7.4,4,0,0,0,76,1869
 SUNDAISLANDS ,1,1977,8,19,-11.085,118.464,33,8,15,6232,441,960,2145,3796
 NEWGUINEA:IRIANJAYA ,1,1979,9,12,-1.679,136.04,5,7.9,2,0,0,0,126,685
 NEWGUINEA:IRIANJAYA ,1,1982,2,24,4.374,97.755,52,5.4,2,0,0,0,0,68
 SUMBAWAISLANDREGION ,1,1982,3,11,-9.265,118.479,33,6.4,0.1,1483,40,60,158,541
 SUMBAWAISLANDREGION ,1,1982,12,25,-8.405,123.08,33,5.9,0.1,-26,37,76,203,1190
 BANDASEA ,1,1983,3,12,-4.056,127.924,17,6.5,3,1889,539,1487,2970,3494
 BANDASEA ,1,1984,1,8,-2.823,118.806,33,6.6,3,0,0,0,447,2052
 DENPASAR/BALI ,1,1985,4,13,-9.245,114.185,99,6.2,2,3949,94,166,396,1076
 TIMOR:PANTAR/MOUNTSIRUNG ,1,1987,11,26,-8.247,124.155,33,6.5,0.1,388,409,887,1213,1891
 FLORESREGION/MAUMERE/BABI ,1,1992,12,12,-8.48,121.896,28,7.8,26.2,39,25,229,383,2228
 KAU ,1,1994,1,21,1.015,127.733,20,7,2,135,8,90,179,326
 JAVA ,1,1994,6,2,-10.477,112.835,18,7.8,13.9,3429,510,1301,2733,4192
 JAVA ,1,1994,6,3,-10.362,112.892,26,6.6,3.7,1851,125,396,1006,3140
 JAVA ,1,1994,6,4,-10.777,113.366,11,6.5,3.7,5840,106,371,838,3671
 JAVA ,1,1994,6,5,-10.341,113.369,17,6.1,3,1146,97,230,392,1687
 HALMAHERA ,1,1994,10,8,-1.258,127.98,17,6.8,3,600,170,395,888,1180
 TIMOR/DILI/MALIANA/MAUBARA ,1,1995,5,14,-8.452,125.049,13,6.9,4,3238,72,225,768,3634
 SULAWESI:MINAHASSAPENINSULA/TOLITOLI ,1,1996,1,1,0.729,119.931,24,7.9,3.43,346,221,414,1196,3230
 NEWGUINEA:IRIANJAYA:BIAK/SUPIORI ,1,1996,2,17,-0.891,136.952,33,8.2,7.7,1649,106,201,587,1921
 MANGOLE/MANADO/TALIABU ,1,1998,11,29,-2.071,124.891,33,7.7,2.75,2074,237,678,1382,3811
 SULAWESI:LUWUK/BANGGAI/PELENG/ ,1,2000,5,4,-1.105,123.573,26,7.6,6,1547,100,338,1142,1844
 NEWGUINEA:MANOKWARI/ORANSBARI/RANSIKI ,1,2002,10,10,-1.757,134.297,10,7.6,5,102,68,172,333,912
 NEWGUINEA:MANOKWARI/ORANSBARI/RANSIKI ,1,2004,1,28,-3.12,127.4,17,6.7,5,859,136,233,592,3262
 KEPULAUANALOR ,1,2004,11,11,-8.152,124.868,10,7.5,2,183,272,634,1892,4566
 SUMATRA:ACEH:OFFWESTCOAST ,1,2004,12,26,3.316,95.854,30,9.1,50.9,1069,51,107,378,1298
 SUMATERA:SW ,1,2005,3,28,2.085,97.108,30,8.6,4.2,0,80,80,149,604
 PADANG ,1,2005,4,10,-1.644,99.607,19,6.7,0.4,1628,54,218,576,1720
 SERAM ,1,2006,3,14,-3.595,127.214,30,6.7,3.5,0,0,0,1799,4111
 JAVA ,1,2006,7,17,-9.254,107.411,34,7.7,20.9,3522,99,176,693,3106
 SUMATRA ,1,2007,9,12,-4.438,101.367,34,8.4,5,7,25,27,383,1074
